Bill Number,Roll Call Number,Year,Congress Number,Republican Yes,Republican No,Democratic Yes,Democratic No,Other Yes,Other No,Republican Support,Democratic Support,Bill Title
H R 3892,5,2010,111,151,1,205,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 101 West Highway 64 Bypass in Roper, North Carolina, as the ""E.V. Wilkins Post Office""."
H R 3538,11,2010,111,164,4,61,187,0,0,strong,little,Idaho Wilderness Water Facilities Act
H R 3254,12,2010,111,14,153,240,5,0,0,little,strong,Taos Pueblo Indian Water Rights Settlement Act
H R 3342,13,2010,111,15,149,234,4,0,0,little,strong,Aamodt Litigation Settlement Act
H R 730,16,2010,111,155,9,242,1,0,0,strong,strong,Nuclear Forensics and Attribution Act
H R 4474,22,2010,111,170,0,245,0,0,0,strong,strong,Idaho Wilderness Water Facilities Act
H R 3726,23,2010,111,0,171,240,4,0,0,none,strong,Castle Nugent National Historic Site Establishment Act of 2010
H R 4495,26,2010,111,161,0,229,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 100 North Taylor Lane in Patagonia, Arizona, as the ""Jim Kolbe Post Office""."
H R 4532,47,2010,111,165,6,247,0,0,0,strong,strong,Social Security Disability Applicants' Access to Professional Representation Act of 2010
H R 4425,49,2010,111,137,0,193,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 2-116th Street in North Troy, New York, as the ""Martin G. 'Marty' Mahar Post Office""."
H R 2314,59,2010,111,6,160,239,4,0,0,little,strong,Native Hawaiian Government Reorganization Act of 2010
H R 4626,64,2010,111,153,19,253,0,0,0,strong,strong,Health Insurance Industry Fair Competition Act
H R 3961,67,2010,111,153,10,162,87,0,0,strong,moderate,"An Act to extend expiring provisions of the USA PATRIOT Improvement and Reauthorization Act of 2005 and Intelligence Reform and Terrorism Prevention Act of 2004 until February 28, 2011."
H R 3820,76,2010,111,108,48,227,2,0,0,moderate,strong,Natural Hazards Risk Reduction Act of 2010
H R 4247,82,2010,111,24,145,238,8,0,0,little,strong,Keeping All Students Safe Act
H R 4621,97,2010,111,170,0,246,0,0,0,strong,strong,Prevent Deceptive Census Look Alike Mailings Act
