Bill Number,Roll Call Number,Year,Congress Number,Republican Yes,Republican No,Democratic Yes,Democratic No,Other Yes,Other No
H R 3892,5,2010,111,151,1,205,0,0,0
H R 3538,11,2010,111,164,4,61,187,0,0
H R 3254,12,2010,111,14,153,240,5,0,0
H R 3342,13,2010,111,15,149,234,4,0,0
H R 730,16,2010,111,155,9,242,1,0,0
H R 4474,22,2010,111,170,0,245,0,0,0
H R 3726,23,2010,111,0,171,240,4,0,0
H R 4495,26,2010,111,161,0,229,0,0,0
H R 4532,47,2010,111,165,6,247,0,0,0
H R 4425,49,2010,111,137,0,193,0,0,0
H R 2314,59,2010,111,6,160,239,4,0,0
H R 4626,64,2010,111,153,19,253,0,0,0
H R 3961,67,2010,111,153,10,162,87,0,0
H R 3820,76,2010,111,108,48,227,2,0,0
H R 4247,82,2010,111,24,145,238,8,0,0
H R 4621,97,2010,111,170,0,246,0,0,0
H R 3650,109,2010,111,38,98,213,5,0,0
H R 4506,111,2010,111,129,4,216,1,0,0
S 1147,124,2010,111,150,20,237,5,0,0
H R 3954,125,2010,111,171,1,247,0,0,0
H R 4825,127,2010,111,171,0,242,1,0,0
H R 4214,128,2010,111,173,0,246,0,0,0
H R 3542,133,2010,111,169,0,239,0,0,0
H R 3509,134,2010,111,147,23,235,3,0,0
H R 3671,137,2010,111,49,117,240,4,0,0
H R 2788,138,2010,111,166,0,244,0,0,0
H R 3644,142,2010,111,8,161,236,9,0,0
H R 4003,143,2010,111,50,114,243,1,0,0
H R 4395,144,2010,111,138,27,234,4,0,0
H R 1612,151,2010,111,58,114,230,2,0,0
H R 4887,152,2010,111,171,0,232,0,0,0
H R 4840,155,2010,111,177,0,243,0,0,0
H R 3976,176,2010,111,168,4,248,0,0,0
H R 4592,177,2010,111,152,19,245,0,0,0
H R 4849,182,2010,111,4,171,242,7,0,0
H R 4098,183,2010,111,160,13,248,0,0,0
H R 1879,184,2010,111,171,1,245,0,0,0
H R 4360,192,2010,111,171,0,246,0,0,0
H R 4872,194,2010,111,0,175,220,32,0,0
H R 3125,201,2010,111,150,18,244,0,0,0
H R 4715,209,2010,111,38,126,240,2,0,0
H R 4851,211,2010,111,49,111,240,1,0,0
S 1963,214,2010,111,174,0,245,0,0,0
H R 4543,221,2010,111,156,0,214,0,0,0
H R 4861,223,2010,111,153,0,218,0,0,0
H R 5017,225,2010,111,108,62,244,0,0,0
H R 5146,226,2010,111,170,0,232,15,0,0
H R 5013,230,2010,111,170,3,247,0,0,0
H R 5014,260,2010,111,171,0,246,0,0,0
H R 4614,274,2010,111,124,32,233,0,0,0
H R 1514,276,2010,111,119,44,245,1,0,0
H R 5099,280,2010,111,163,1,247,0,0,0
H R 5327,284,2010,111,166,1,244,3,0,0
H R 5128,290,2010,111,164,1,245,0,0,0
H R 1017,292,2010,111,146,6,219,0,0,0
H R 5330,293,2010,111,150,4,216,0,0,0
H R 5145,294,2010,111,165,2,248,0,0,0
H R 3885,298,2010,111,159,4,244,0,0,0
H R 2711,299,2010,111,167,0,249,0,0,0
H R 5136,336,2010,111,9,160,220,26,0,0
H R 1061,337,2010,111,146,0,201,0,0,0
H R 5278,345,2010,111,169,0,247,0,0,0
H R 5133,346,2010,111,165,0,244,0,0,0
H R 5072,353,2010,111,165,3,241,1,0,0
S 3473,354,2010,111,165,0,245,0,0,0
H R 5502,357,2010,111,147,0,210,0,0,0
H R 4855,360,2010,111,19,147,230,16,0,0
H R 5486,363,2010,111,5,162,242,8,0,0
H R 5481,382,2010,111,169,1,251,0,0,0
H R 3993,383,2010,111,133,41,248,0,0,0
H R 5175,391,2010,111,2,170,217,36,0,0
H R 3962,393,2010,111,170,0,247,1,0,0
H R 2194,394,2010,111,167,2,241,6,0,0
H R 5552,400,2010,111,170,1,242,5,0,0
H R 5623,401,2010,111,165,5,244,0,0,0
H R 5395,403,2010,111,170,0,239,0,0,0
H R 4307,405,2010,111,171,0,246,0,0,0
H R 4505,408,2010,111,171,0,249,0,0,0
H R 1554,411,2010,111,175,0,246,1,0,0
H R 4445,414,2010,111,169,0,242,0,0,0
H R 2340,416,2010,111,173,0,237,0,0,0
H R 5618,423,2010,111,29,142,241,11,0,0
H R 5609,425,2010,111,167,1,241,3,0,0
H R 4514,434,2010,111,125,26,225,0,0,0
H R 4438,435,2010,111,39,113,225,1,0,0
H R 4773,436,2010,111,151,0,228,0,0,0
S 1508,442,2010,111,170,0,244,0,0,0
H R 5114,447,2010,111,85,89,244,1,0,0
H R 5604,452,2010,111,163,0,239,0,0,0
H R 725,455,2010,111,78,92,248,0,0,0
H R 4380,456,2010,111,129,42,249,1,0,0
H R 5566,459,2010,111,167,3,249,0,0,0
H R 1469,462,2010,111,167,4,246,0,0,0
H R 4213,463,2010,111,31,142,241,10,0,0
H R 5341,464,2010,111,165,0,246,0,0,0
H R 1320,467,2010,111,27,124,223,0,0,0
H R 3101,469,2010,111,128,23,220,0,0,0
H R 5730,471,2010,111,163,6,231,17,0,0
H R 4899,474,2010,111,160,12,148,102,0,0
H R 4748,475,2010,111,165,0,248,0,0,0
H R 4692,477,2010,111,132,38,247,0,0,0
H R 5827,479,2010,111,168,1,139,112,0,0
H R 5822,482,2010,111,164,6,247,0,0,0
H R 3040,487,2010,111,89,79,246,2,0,0
H R 5850,499,2010,111,14,154,237,13,0,0
H R 5901,502,2010,111,155,10,247,1,0,0
H R 5414,504,2010,111,162,0,246,0,0,0
H R 5851,506,2010,111,68,92,247,1,0,0
H R 3534,513,2010,111,2,154,207,39,0,0
H R 1586,518,2010,111,2,158,245,3,0,0
H R 2039,521,2010,111,139,35,232,1,0,0
H R 5873,522,2010,111,174,0,237,0,0,0
H R 5366,524,2010,111,173,0,236,0,0,0
H R 4785,530,2010,111,6,167,234,5,0,0
H R 5131,532,2010,111,1,168,214,6,0,0
H R 3470,533,2010,111,106,64,218,0,0,0
H R 5110,537,2010,111,2,172,242,2,0,0
H R 4823,538,2010,111,12,160,246,0,0,0
H R 5297,539,2010,111,1,174,236,13,0,0
H R 5307,540,2010,111,166,3,246,0,0,0
H R 5756,541,2010,111,147,24,246,0,0,0
H R 3199,542,2010,111,165,5,247,0,0,0
H R 1745,543,2010,111,170,1,247,0,0,0
H R 5710,544,2010,111,140,31,244,1,0,0
H R 3685,551,2010,111,174,0,251,0,0,0
H R 5993,552,2010,111,109,64,249,2,0,0
H R 2378,554,2010,111,99,74,249,5,0,0
H R 6160,555,2010,111,74,97,251,1,0,0
H R 4072,556,2010,111,161,10,251,0,0,0
H R 2701,558,2010,111,1,172,243,9,0,0
S 3729,561,2010,111,119,54,185,64,0,0
H R 946,562,2010,111,92,80,249,2,0,0
H R 512,563,2010,111,45,128,251,1,0,0
H R 3081,564,2010,111,1,172,227,22,0,0
H R 3940,565,2010,111,159,3,227,2,0,0
S 3689,566,2010,111,164,0,221,0,0,0
H R 3808,573,2010,111,169,5,16,230,0,0
H R 5758,574,2010,111,172,0,245,0,0,0
H R 1722,578,2010,111,14,149,240,3,0,0
H R 6419,579,2010,111,21,143,237,11,0,0
S 3774,580,2010,111,127,32,239,8,0,0
H R 5877,581,2010,111,154,0,212,0,0,0
H R 4783,584,2010,111,16,149,240,3,0,0
H R 6469,601,2010,111,166,3,250,0,0,0
S 3307,603,2010,111,17,153,247,4,0,0
H R 6400,608,2010,111,157,0,225,0,0,0
H R 5987,611,2010,111,26,141,228,12,0,0
